text,ref
Many were stabbed to the heart over Jesus ' death ; they repented and were baptized .,Ame geɖe xa nu vevie ɖe Yesu ƒe ku la ta ; wotrɔ dzime eye woxɔ nyɔnyrɔ .
Many believe that Satan resides in a fiery hell at the center of the earth .,Ame geɖe xɔe se be Satana le dzo mavɔ me le anyigba ƒe titina .
And of the rest durst no man join himself to them : but the people magnified them .,"Ame geɖewo metea ŋu doa dzi tena ɖe apostoloawo ŋu tututu o , ke ha ̃ ame sia ame tsɔ bubu tɔxɛ blibo na wo ."
Who can help us ?,Ame kae ate ŋu akpe ɖe mía ŋu ?
Who united the first human pair in marriage ?,Ame kae na ŋutsu kple nyɔnu gbãtɔ la wɔ ɖeka le srɔ ̃ ɖeɖe me ?
"Who foreshadowed Jesus , and in what ways ?","Ame kawoe nye vɔvɔli na Yesu , eye le mɔ kawo nu ?"
"The one persuaded is "" so convinced that [ he ] puts confidence in someth [ ing ] . """,Ame si ŋu wokpe ɖo alea la ' xɔa nya si wòse la dea eme ale gbegbe be eva kana ɖe nyaa dzi . '
"One of their weekly meetings , the Theocratic Ministry School , helps congregation members develop teaching , reading , and research skills .","Ame sia ame ate ŋu ade woƒe kpekpeawo faa . Kpekpe siwo wowɔna le kwasiɖaa me la dometɔ ɖekae nye esi woyɔna be Teokrasi Subɔsubɔ Suku , eye ekpena ɖe hamea me tɔwo ŋu be woabi ɖe nufiafia , nuxexlẽ kple numekuku me ."
I found these people to be among the nicest I have ever met .,"Ame siawoe nye ame nyuitɔ kekeake siwo medo goe kpɔ . """
"Emptying "" hell "" will mean restoring to life all those whom God judges worthy of a resurrection .","Ame siwo katã le "" hell "" la ɖeɖe tso eme fia be woagbɔ agbe ame siwo katã Mawu bu be wodze be woafɔ wo ɖe tsitre la ."
"All who truly love Jehovah will stay away from books , movies , and computer games that are rooted in the occult or that promote occult practices and beliefs .","Ame siwo katã lɔ ̃ Yehowa vavã la aƒo asa na agbalẽ , video , kple kɔmpiutadzifefe siwo me gbɔgbɔyɔyɔnuwɔnawo dzena le alo esiwo doa gbɔgbɔyɔlawo ƒe nuwɔnawo kple dzixɔsewo ɖe ŋgɔ ."
"Those who heard it said , "" Then who can be saved ? ""","Ame siwo le afi ma se nya si wo ̀ gblɔ la gblɔ be , "" Nenye be esese ̃ alea ɖe , ekema ame ka koŋ ate ŋu akpɔ ɖeɖe sia ? """
People who speak languages other than English are also thankful for the New World Translation .,Ame siwo menye Eŋlisigbedolawo o hã da akpe ɖe Xexe Yeye Gɔmeɖeɖe Biblia ta .
"Those conscious of their spiritual need are happy , "" since the kingdom of the heavens belongs to them . ""","Ame siwo nyae be gbɔgbɔmenuwo hiã yewo la kpɔa dzidzɔ , "" elabena woawo tɔe nye dziƒofiaɖuƒe la . """
"And here men that die receive tithes ; but there he receiveth them , of whom it is witnessed that he liveth .","Ame siwo nye Osɔfowo esi woxɔ nu ewolia la nye amegbetɔwo , ŋutila ̃ kple ʋu , si kuna . Ke hena Melkizedek ya la , wogblɔ le eŋuti be egale agbe ."
"Great men such as Abraham , Moses , and King David were shepherds .","Ame xɔŋkɔwo abe Abraham , Mose kple Fia David ene hã nye alẽkplɔlawo ."
One man who did not make the list in that article was Tattenai .,Ame ɖeka aɖe si ŋu nyatia meƒo nu tsoe o lae nye Tatenai .
