ref,text
"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Oʼɛ, zangmayo ɔ ma na muklii, nɛ e ma fɔ binyumu, nɛ a maa wo lɛ biɛ ke: Yimanuel” ."
"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",nɛ Yosia fɔ Yékonia kɛ e nyɛmimɛ ɔmɛ benɛ a ba ngɔ mɛ nyɔguɛ kɛ ho Babilon ya a.
more to the birth of the Messiah. The Birth of Jesus (Luke,"nɛ Azor fɔ Sadok, nɛ Sadok fɔ Akim, nɛ Akim fɔ Eliud;"
"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Jeha nɛ ɔ, bɔ nɛ Yesu Kristo fɔmi ɔ ngɛ ji nɛ ɔ nɛ: e nyɛ Maria a, benɛ Yosef ya bi e si nɛ e na we nɛ e kpee lɛ ɔ, Maria na kaa e hɛɛ muklii kɛ je Mumi klɔuklɔu ɔ mi."
Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Se Yosef, e huno ɔ, akɛnɛ dalɔ ji lɛ nɛ e hla we kaa e bɔ lɛ ahlua a, e susu kaa e maa ngmɛɛ e he kpoo."
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Se benɛ e ngɛ ni nɛ ɔmɛ kulaa a he susue ɔ, oʼɛ, Nyɔmtsɛ ɔ bɔfo je e he kpo ngɔ tsɔɔ lɛ ngɛ nlami mi, nɛ e de lɛ ke: “Yosef, David bi, koo ye o yo Maria a ngɔmi gbeye, se hɔ nɛ e hɛɛ nɛ ɔ ɔ, e je Mumi Klɔuklɔu ɔ mi;"
"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","e ma fɔ binyumu, nɛ o maa wo lɛ biɛ ke Yesu, ejakaa e ma he e ma a yi wmai kɛ je a he yayami ɔmɛ a mi.”"
"So the Lord's promise came true, just as the prophet had said,",Se a pee enɛ ɔmɛ tsuo konɛ nɔ́ nɛ Nyɔmtsɛ ɔ de kɛ gu gbalɔ ɔ nɔ ɔ nɛ ba mi ke:
"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Lɔ ɔ he ɔ, benɛ Yosef hɛ̃ tsɛ̃ kɛ je mahɛ ɔ mi ɔ, e pee bɔ nɛ Nyɔmtsɛ ɔ bɔfo ɔ de lɛ ɔ, nɛ e ngɔ e yo ɔ;"
But they did not sleep together before her baby was born. Then Joseph named him Jesus.,"se e li lɛ nyumu kɛ yo hluu kɛ ya su be nɛ e fɔ e bi tete ɔ, nɛ e wo lɛ biɛ ke Yesu."
"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Benɛ pa fɔ Yesu ngɛ Betlehem ngɛ Yudea ngɛ matsɛ Herode yi nɔ se ɔ, oʼɛ, ni leli je beleku ba Yerusalem ba bi ke:"
"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","“Jije Yudafo ɔmɛ a matsɛ ɔ nɛ a fɔ ɔ ngɛ? Wa na edodoe ngɛ beleku, nɛ wa ma lɛ jami.”"
"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Benɛ matsɛ Herode nu enɛ ɔ, e kɛ Yerusalem tsuo nu sawale;"
"Herod brought together the chief priests and the teachers of the Law of Moses and asked them, “Where will the Messiah be born?”",nɛ e bua ma a mi osɔfo nikɔtɔma amɛ kɛ mlaa tsɔɔli ɔmɛ tsuo a nya kɛ kpe nɛ e bi mɛ he nɛ a ma fɔ Kristo ɔ ngɛ.
"They told him, “He will be born in Bethlehem, just as the prophet wrote,",Nɛ a de lɛ ke: “Ngɛ Betlehem ngɛ Yudea; se bɔ nɛ gbalɔ ɔ ngma ji nɛ ɔ nɛ:
"‘Bethlehem in the land of Judea, you are very important among the towns of Judea. From your town will come a leader, who will be like a shepherd for my people Israel.’ ”","‘Nɛ mo, Betlehem, Yuda zugba a, pi mo ji nyafii pe kulaa ngɛ Yuda ganɔ ɔmɛ a kpɛti. Se o mi nɛ ganɔ nɛ ma kpaka ye ma Israel ɔ maa je.’ ”"
Herod secretly called in the wise men and asked them when they had first seen the star.,Kɛkɛ nɛ Herode tsɛ ni leli ɔmɛ zaa nɛ e bi mɛ fitsofitso be mi nɛ dodoe ɔ je.
"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Nɛ e ha a ya Betlehem nɛ e ke: “Nyɛɛ ya nɛ nyɛ ya hla bimwɔyo ɔ fitsofitso, nɛ ke nyɛ na lɛ ɔ, nyɛ ba de mi konɛ imi hu ma ba nɛ ma ba ja lɛ.”"
The wise men listened to what the king said and then left. And the star they had seen in the east went on ahead of them until it stopped over the place where the child was.,"Se benɛ a nu matsɛ ɔ munyu ɔ, a pue nɔ kɛ ho. Nɛ oʼɛ, dodoe ɔ nɛ a na ngɛ beleku ɔ nyɛɛ a hɛ mi hluu kɛ ya si dodoe ɔ ba da he nɛ bimwɔyo ɔ ngɛ ɔ yi mi."
They were thrilled and excited to see the star.,"Nɛ benɛ a na dodoe ɔ, a na bua jɔmi wawɛɛ nitse."
"When the men went into the house and saw the child with Mary, his mother, they knelt down and worshiped him. They took out their gifts of gold, frankincense, and myrrh and gave them to him.","Nɛ a ya we ɔ mi, nɛ a ya na bimwɔyo ɔ kɛ e nyɛ Maria a, nɛ a kpla si nɛ a ja lɛ, nɛ a pɛne a kotoku ɔmɛ a nya; nɛ a ke lɛ nihi: sika tsu kɛ mimɛ kɛ mire."
"Later they were warned in a dream not to return to Herod, and they went back home by another road. The Escape to Egypt","Nɛ akɛnɛ Mawu je tsɔɔ mɛ ngɛ nlɛmi mi ke a ko kpale a se kɛ ya Herode ngɔ hu ɔ, a gu blɔ kpa kɛ ho a zugba a nɔ ya. Fotumi kɛ Mizraim yami"
