verse_number,english_verse,translation_verse
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ni Nyoṅmo̱ tšé̱ la le̱ ſane, ni duṅ le̱ etšé̱le̱ nyōṅ. Ni dše na ni dše tše̱re, ni efe kleṅkleṅ gbĩ le̱."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Ni Nyoṅmo̱ tšé̱ heni egbĩ le̱ šikpoṅ, ni nui le̱ anābuamo̱ le̱ etšé̱le̱ ṅšo̱. Ni Nyoṅmo̱ na ake̱ ehĩ."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Ni Nyoṅmo̱ kē̱: Šikpoṅ le̱ akwẽ dſe̱i, bāi ni woo̱ wui ke̱ tšei ni woo̱ yibii ye̱ eheno̱, ní ewui le̱ yo̱ emli, ye̱ šikpoṅ le̱ no̱! Ni efe nakai."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Ni šikpoṅ le̱ kwẽ dſe̱i, bāi ni woo̱ wui ye̱ eheno̱, ke̱ tšei ní woo̱ yibii ní ewui le̱ yo̱ emli ye̱ eheno̱. Ni Nyoṅmo̱ na ake̱ ehī."
13,"Evening came, then morning—that was the third day. The Fourth Day","Ni dše na ni dše tše̱re, ni efe gbĩ ni dši gbĩ etẽ le̱."
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Ni Nyoṅmo̱ kē̱: Kanei aba ṅwei atatu le̱ mli, koni ame̱gbla ſane ke̱ nyōṅ mli, ni ame̱tšō okadii ke̱ bei ke̱ gbĩĩ ke̱ afii; Lal."
15,I command them to shine on the earth.” And that's what happened.,"ni ame̱tšṍmo̱ kanei ye̱ ṅwei atatu le̱ mli, ní ame̱tšo ye̱ šikpoṅ le̱ no̱. Ni efe nakai."
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Ni Nyoṅmo̱ fe kanei wudši enyo̱ le̱: kane wulu le̱ ní eye ſane no̱, ke̱ kane bibiō le̱ ni eye nyōṅ no̱, ke̱ ṅulamii le̱ hũ. Lal."
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","ni ame̱ye ſane ke̱ nyõṅ ne̱, ni ame̱gbla la le̱ ke̱ duṅ le̱ mli. Ni Nyoṅmo̱ na ake̱ ehĩ."
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Ni Nyoṅmo̱ kē̱: Nui le̱ awo lōi ni hĩe kāmo̱ nyẽṅẽnyẽṅẽ, ni lofõdši afliki ye̱ šikpoṅ le̱ no̱ ye̱ ṅwei atatu le̱ hĩe."
