verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,"Unimbɔti nín kíĺ ki náań kutagbɔŋu nì kitiŋee,"
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","kitiŋ kaa nìn cáá dikíl ní tiba nì tiba kaa nìn bí ki-pu ní dibɔmbɔndi nìn bīī inyiŋfi pu. Kitiŋ nìn sá nnyim ŋma ní, ní Unimbɔti Fam nìn dàn̄ nnyimee pu."
3,"God said, “I command light to shine!” And light started shining.",Ní Unimbɔti bí yii: «Ŋwalifi ń nyā!» Ní ŋwalifi nyáń.
4,God looked at the light and saw that it was good. He separated light from darkness,"Ní Unimbɔti ká yii ŋwalifi ŋān̄, ní u cúú ŋwalifi nì dibɔmbɔndi ki yākatì tɔbin."
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ní Unimbɔti yíiń ŋwalifi yii ŋwiimpu ní ki yíiń dibɔmbɔndi yii kunyeeu. Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwimpeepeekaa dal dee."
6,"God said, “I command a dome to separate the water above it from the water below it.”",Ní Unimbɔti bí yii: «Kugbɔŋu kubɔ ń nyā kí dàntī kí yàkatī inyiŋfi mili!»
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ní Unimbɔti yíiń kugbɔŋuee yii kutagbɔŋu. Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwinliliiti dal dee."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Ní Unimbɔti bí yii: «Nnyim min dɔ̄ taapuee ń kóoǹ kí kpāfì dijandi diba, dijandi din kíǹee ń nīn sá ŋkulimmi!» Ní an ŋá míǹ."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Ní u yíiń dijandi din kūńee yii kitiŋ, ní ki yíiń nnyim min kóoǹ ki kpáfèe yii tiŋku. Ní u ká yii míǹ ŋān̄."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Unimbɔti bí yii: «Kumɔsɔŋu ń nyā kitiŋ pu, kumoou kamaa ń lòoǹ ku-boolii ní isufi mun ń nyā, busubu kamaa ń lòoǹ bu-boolii!» Ní an ŋá míǹ."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Ní kumɔsɔŋu nyáń kitiŋ pu, ní timool tin làá lòoǹ ibee lòon̄ tì nín sá dimɔcil diŋyee boolii, ní busubu kamaa mun lòon̄ bu nín sá disucil diŋyee boolii. Ní Unimbɔti ká yii míǹ ŋān̄."
13,"Evening came, then morning—that was the third day. The Fourth Day","Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwintataati dal dee."
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Ní Unimbɔti bí yii: «Iwalfi ń nyā kí nīn bí kutagbɔŋu pu kí yàkatī ŋwiimpu nì kunyeeu, bí nīn cáa dāantí iyunti, kí nīn cáa kàaǹ iwiin nì abin nì iwiŋkpaan,"
15,I command them to shine on the earth.” And that's what happened.,iwalfi gbantee ń nīn bí kutagbɔŋu pu ki ŋmíntí kitiŋ pu.» Ní an ŋá míǹ.
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Míǹ ní Unimbɔti ŋá iwalfikpaan ili: ŋkpaŋkpaan di sá ŋwìiń, kutaa yaa wúntèe, ŋú nīn bí ki ŋmíntí. Kiwaai di sá uŋmal, kunyeeuee, ú nīn bí ki ŋmíntí, ní ki ŋá iŋmalbijaa mun."
17,"Then God put these lights in the sky to shine on the earth,","Ní Unimbɔti dū i-kɔkɔ ki kāaǹ kutagbɔŋu pu í nīn ŋmíntí kitiŋ pu,"
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","ŋubɔ ń nīn bí ki ŋmíntí ŋwiimpu, ŋun kíǹee ń nīn bí ki ŋmíntí kunyeeu. Unimbɔti ká yii míǹ ŋān̄."
19,"Evening came, then morning—that was the fourth day. The Fifth Day","Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwinnanaati dal dee."
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Ní Unimbɔti bí yii: «Tiwan tin cáá kufoouee ń kpátí kí gbí nnyim poon dàaa, inoon mun ń nīn bí kutaa pu ki ŋàaǹ.»"
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.",Ní Unimbɔti náań tiwambilindi tin kóò nnyiminee nì tin kɔkɔ cáá kufoou ki kpátìi gbí nnyim poonee nì ti-buluku ti-buluku. U náań inoon kɔkɔ nì i-buluku i-buluku. Unimbɔti ká yii míǹ ŋān̄.
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Ní Unimbɔti bīiǹ ti-boon ki bí-tì yii: «Ní bùtī kí gbí tiŋku, inoon mun ń bùtī kí gbí kitiŋ!»"
23,"Evening came, then morning—that was the fifth day. The Sixth Day","Ní kunyeeu mɔ́ ní kutaa dūu wúntì, ŋwiŋŋmooŋmooti dal dee."
24,"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened.","Ní Unimbɔti bí yii: «Tiwan tin fòotēe kɔkɔ kubuluu kubuluu ń nyā kí nīn bí kitiŋ pu, an dàkà yii tiwaŋkuti nì tin fù ti-biŋŋi puee nì ipeel ń nyā!» Ní an ŋá míǹ."
25,"God made every one of them. Then he looked at what he had done, and it was good.",Ní Unimbɔti nyántì kumooun peelii kɔkɔ kubuluu kubuluu nì tiwaŋkuti kɔkɔ kubuluu kubuluu nì tin kɔkɔ fù ti-biŋŋi puee kubuluu kubuluu. Ní Unimbɔti ká yii míǹ ŋān̄. Unimbɔti náań unil
26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Ní Unimbɔti bí yii: «Tí náań unil kí nántíǹ ti-ba, ú nīn náań nì ti, kí nīn cáá mpɔn ijɔm nì inoon pu, kí nīn cáá mpɔn tiwaŋkuti nì ipeel kɔkɔ nì tin kɔkɔ fù ti-biŋŋi pu ki bí kitiŋ puee pu!»"
27,So God created humans to be like himself; he made men and women.,"Ní Unimbɔti náań unil ki nántiǹ u-ba, u náań-u ki nántiǹ úǹ Unimbɔti u-ba ní. U nìn náań uninja nì unimpu ní."
