verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,Mɔlebɛbo ne Nyamenle bɔle anwuma nee aze.
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Ɛnee azɛlɛ ye ɛnzɔho ɛhwee, yɛɛ debie biala ɛnle zolɛ; awozinli ɛheda buma ne anye, na Nyamenle Sunsum ne luolua nzule ne anye."
3,"God said, “I command light to shine!” And light started shining.","Na Nyamenle zele kɛ, “Wienyi ɛrɛla”; na wienyi rale."
4,God looked at the light and saw that it was good. He separated light from darkness,"Nyamenle nwunle kɛ wienyi ne le kpalɛ, na ɔdele wienyi ne ɔvile awozinli ne anwo."
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day",Nyamenle vɛlɛle wienyi ne “Alehyenlɛ” yɛɛ ɔvɛlɛle awozinli ne “Aledwolɛ”. Akee aleɛ dwole na aleɛ hyenle. Ɛhye a le kenle ne mɔɔ lumua la.
6,"God said, “I command a dome to separate the water above it from the water below it.”","Na Nyamenle zele kɛ, “Anwomanyunlu ɛrɛla ɛrade nzule ne mɔ avinli.”"
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Na ɔvɛlɛle anwomanyunlu “Anwuma.” Aleɛ dwole na aleɛ hyenle; kenle ne mɔɔ tɔ zolɛ nwiɔ la ɛne.
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Na Nyamenle zele kɛ, “Nzule mɔɔ wɔ ewiade la ɛhɔ ɛleka ko ɛye ɛleka resee ɛdo ɛkɛ.” Na ɔyɛle zɔhane."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Nyamenle vɛlɛle ɛleka resee ne “Azɛlɛ”, yɛɛ ɔvɛlɛle nzule ne mɔ mɔɔ hɔle ɛleka ko la “Nyevile”. Na Nyamenle nwunle kɛ ɔle kpalɛ."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na Nyamenle zele kɛ, “Ɛbɔ ɛrɛla azɛlɛ ye azo; ndile nee mbaka mɔɔ so ma, yɛɛ nzoleɛ mbaka mɔɔ ma wɔ bɛ nzoleɛ ne mɔ anu la, ko biala nee ye ɛsaso ɛrɛla.” Na ɔyɛle zɔhane."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Ndile nee mbaka ngakyile kɔsɔɔti mɔɔ so ma, yɛɛ nzoleɛ mbaka mɔɔ ma wɔ bɛ nzoleɛ ne mɔ anu la, ko biala nee ye ɛsaso, fifile azɛlɛ ye azo. Na Nyamenle nwunle kɛ ɔle kpalɛ."
13,"Evening came, then morning—that was the third day. The Fourth Day",Aleɛ dwole na aleɛ hyenle; kenle ne mɔɔ tɔ zolɛ nsa la ɛne.
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Na Nyamenle zele kɛ, “Ahɛnlaneɛ ɛrɛla anwomanyunlu anwuma lɔ, ɛrade alehyenlɛ nee aledwolɛ avinli, na bɛyɛ sɛkɛlɛneɛ mɔɔ kile ɛlobɔ, kenle, nee ɛvolɛ a,"
15,I command them to shine on the earth.” And that's what happened.,na bɛda anwomanyunlu anwuma lɔ bɛmaa wienyi ɛrɛla azɛlɛ ye azo.” Na ɔyɛle zɔhane.
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Na Nyamenle yɛle anwuma ahɛnlaneɛ mgbole nwiɔ ne, ɔyɛle kpole kpalɛ ne, sɛnzɛne ne, kɛ ɔda alehyenlɛ nu; akee ɔyɛle kpole ekyi ne, siane ne, kɛ ɔda aledwolɛ nu. Ɔyɛle nwɔlɔra noko."
