verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,"Piligu ni, Naawuni daa namla zuɣusaa mini dunia."
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Dunia ŋɔ daa ka taɣinamsi, di daa kul bela vau, ka zibisim limsi bɔɣ’ zilinli, ka Naawuni shia daa be kom zuɣusaa ginda."
3,"God said, “I command light to shine!” And light started shining.","Ka Naawuni daa yɛli, “Neesim, neema!” Ka neesim dii neei."
4,God looked at the light and saw that it was good. He separated light from darkness,"Ka Naawuni daa nya ka neesim maa viɛla, ka o woligi neesim maa ka chɛ zibisim."
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ka Naawuni daa boli neesim maa wuntaŋ’ ni, ka boli zibisim maa mi yuŋ. Ka di daa niŋ zaawuni, di nyaaŋa ka biɛɣu neei; ka di niŋ dabisili din daŋ tooni."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Ka Naawuni daa yɛli, “Foliŋga, niŋmi kom ŋɔ sunsuuni m-pirigi kom maa buyi.”"
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ka Naawuni daa boli foliŋga maa “Zuɣusaa.” Ka di daa niŋ zaawuni, di nyaaŋa ka biɛɣu neei; ka di niŋ dabisili din pah’ ayi."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Ka Naawuni daa lan yɛli, “Kom din be foliŋga tiŋli ŋɔ laɣimmi dɔni luɣ’ yini, ka chɛ ka tiŋgban’ kuŋ yi n-dɔni.” Ka di daa shiri niŋ lala."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Ka Naawuni daa boli tiŋgban’ kuŋ maa “Tiŋgbani,” ka boli kom din laɣim do luɣ’ yini maa mi “Teeku.” Ka Naawuni daa nya li ka di viɛla."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Ka Naawuni daa lan yɛli, “Binyɛra din bindi tiŋgban’ ni ka mali biɛlim mini tihi din wala mali kpila balibu kam zaa, bilimiya.” Ka di daa shiri niŋ lala."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Ka binyɛra din bindi tiŋgban’ ni ka mali biɛlim mini tihi din wala mali kpila balibu kam zaa shiri bili. Ka Naawuni daa nya li ka di viɛla.
13,"Evening came, then morning—that was the third day. The Fourth Day","Ka di daa niŋ zaawuni, di nyaaŋa ka biɛɣu neei; ka di niŋ dabisili din pah’ ata."
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Ka Naawuni daa lan yɛli, “Neesim shɛŋa neemiya zuɣusaa sagbana ni n-woligi wuntaŋ’ ni ka chɛ yuŋ,” ka neesim maa wuhiri shihira ni saha ni dabisa ni yuma;"
