verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,Pin'ilʋgʋn la Wina'am da maal agɔl nɛ teŋ.
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Si'el da ka' teŋ la nii, ka zin'ig la wʋsa da an yɔɔg-yɔɔg, lik ma'aa da pɛ'ɛl, ka Wina'am Siig da laannɛ giligid ku'om la zug."
3,"God said, “I command light to shine!” And light started shining.","Ka Wina'am yɛl ye, “Kɛl ka li an nyain.” Ka li sid nie nyain."
4,God looked at the light and saw that it was good. He separated light from darkness,Ka Wina'am nyɛ ka nɛɛsim la an sʋm ka o bak nɛɛsim la ka kɛ lik.
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ka Wina'am buol nɛɛsim la ye, “Nintaŋ” ka buol lik la ye, “Yʋ'ʋŋ.” Ka yʋ'ʋŋ sɔb ka bɛog nie, linɛ da an yiiga dabisir."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Ka Wina'am yɛl ye, “Kɛl ka si'el bɛɛ an lammiri bɛŋ ku'okanɛ bɛɛ agɔl la nɛ ku'okanɛ bɛ teŋir la.”"
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ka Wina'am buol bʋnlammir dinɛ bɛɛ agɔl la ye, “Saŋgbauŋ.” Ka yʋ'ʋŋ da sɔb ka bɛog nie dabayi' daare la."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Ka Wina'am yɛl ye, “Kɛl ka ku'okanɛ bɛ saŋgbauŋ la teŋir la la'as zin'ig yinne, ka kɛ ka li teŋir la nie.” Ka li sid niŋ ala."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Ka Wina'am buol zin'ikanɛ nie ka kʋdig la ye, “Teŋ,” ka buol ku'om la ye, “Atɛuk.” Ka Wina'am nyɛ ka li an sʋm."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Ka Wina'am yɛl ye, “Kɛl ka bʋmbʋʋda buudi wʋsa bul teŋinɛ yina. Bʋmbʋʋdbanɛ du'ad bielim nɛ tiis buudi wʋsa banɛ wan wala ka mɔr biili.” Ka li sid niŋ ala."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Ka teŋ la pɛ'ɛl nɛ zʋʋd nɛ tiis. Ka bʋmbʋʋda wʋsa du'a li buudi. Ka Wina'am nyɛ ka li an sʋm.
13,"Evening came, then morning—that was the third day. The Fourth Day",Ka yʋ'ʋŋ sɔb ka bɛog nie daba atan' daare la.
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Ka Wina'am yɛl ye, “Kɛl ka bugum bɛɛ agɔl dinɛ na bak nintaŋ nɛ yʋ'ʋŋ ka an zanbin linɛ pa'an sɛɛung nɛ ʋʋn, nɛ dabisa nɛ yʋma."
15,I command them to shine on the earth.” And that's what happened.,Ka kɛ ka bugum bɛ saŋgbauŋ la ni dinɛ na tis teŋgbauŋ la nɛɛsim.” Ka li sid niŋ ala.
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.",Wina'am da maal nɛ bugum kanda ayi'. Bugum tita'ar la da tisid nɛɛsim nintaŋ ka bugum si'asiŋ la tisid nɛɛsim yʋ'ʋŋ. O da lɛm maal nwadbibis.
17,"Then God put these lights in the sky to shine on the earth,",Wina'am da maali ba niŋ saŋgbana la ni ye ba tis teŋgbauŋ la nɛɛsim
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.",ka sʋ'oe nintaŋ nɛ yʋ'ʋŋ ka wɛlig nɛɛsim yi likin. Ka Wina'am nyɛ ka li an sʋm.
19,"Evening came, then morning—that was the fourth day. The Fifth Day",Ka yʋ'ʋŋ da sɔb ka bɛog nie daba anaasi daare la.
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Ka Wina'am yɛl ye, “Kɛl ka ku'om la mɔr zimi nɛ bʋnvʋya banɛ bɛ ku'omin wʋsa, ka kɛ ka niis buudi wʋsa ian'ad agɔla.”"
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.","Ka Wina'am maal bʋnvʋbɛda banɛ bɛɛ atɛukʋn la, nɛ zimi nɛ ba buudi nɛ niis nɛ ba buudi. Ka Wina'am nyɛ ka li an sʋm."
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Ka Wina'am niŋi ba zug bareka ka yɛl ye, “Kɛl ka zimi la wiaki pɛ'ɛl atɛuk la ka kɛ ka niis la mɛ wiaki pɛ'ɛl teŋgbauŋ la.”"
23,"Evening came, then morning—that was the fifth day. The Sixth Day",Ka yʋ'ʋŋ da sɔb ka bɛog nie daba anu daare la.
