verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,Dɩ-suomuŋ Wɩa ŋaa wɩa-nyuŋ arɩ tinteeŋ nɛ.
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Dʋnɩa fa bɩ kʋŋkala naga, ʋ fa pɩŋ hoi nɛ. Leriŋ kala fa bire nɛ, ka Wɩa Dɩma zɩzaarɛ lɩɩŋ nyuŋ."
3,"God said, “I command light to shine!” And light started shining.","Ŋɩɩ nɛ Wɩa bʋl, “Leŋ dɩ pʋlʋmʋŋ chaanɛ,” ŋɩɩ nɛ ʋ chaanɛ."
4,God looked at the light and saw that it was good. He separated light from darkness,"Wɩa na pʋlʋmʋŋ zɔmɔ, ʋ kɛŋ pʋlʋmʋŋ arɩ birimiŋ kaa pɔrɛ dɔŋɔ lɛ."
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ŋɩɩ nɛ Wɩa kɛŋ pʋlʋmʋŋ kaa yɩyɩrɛ wɩɩhɛyɛ aŋ kɛŋ birimiŋ ma yɩyɩrɛ tɩtaŋɩŋ. Wɩa jʋʋ dɩdaanɩŋ, taŋ pʋl chʋchʋɔŋ, chɛ-bumbuŋ nɛ ŋɩɩ."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Ŋɩɩ nɛ Wɩa bʋl, “Leŋ dɩ lɩɩŋ kpaa balɩa aŋ ka wuoluŋ pɩŋ.”"
7,And that's what happened. God made the dome,"Ŋɩɩ nɛ ʋ kpaa, aŋ ka wuoluŋ, dɔŋɔ hɛ nyuŋ, dɔŋɔ ma hɛ bʋbʋɔŋ."
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Wɩa kɛŋ wuol-la sɩ hɛ ba pɛgɛ kaa yɩyɩrɛ wɩa-nyuŋ. Wɩa jʋʋ dɩdaanɩŋ, taŋ pʋl chʋchʋɔŋ, chɛ-lɩamɩŋ nɛ ŋɩɩ."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Ŋɩɩ nɛ Wɩa bʋl, “Leŋ dɩ lɩɩŋ kala sɩ hɛ bʋbʋɔŋ kʋ hɛ dɔŋɔ lɛ aŋ ka tintee-hɩlɩŋ,” ŋɩɩ nɛ ʋ ŋaa."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.",Ŋɩɩ nɛ Wɩa kɛŋ dɩ-hɩlɩɩ-la kaa yɩyɩrɛ tinteeŋ aŋ kɛŋ lɩɩ-la sɩ hɛ bʋbʋɔŋ ma yɩyɩrɛ mʋgʋ-balɩŋ. Wɩa na dɩ ʋ zɔmɔ.
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Ŋɩɩ nɛ Wɩa bʋl, “Leŋ dɩ kʋŋkala sɩɩ nɛŋ, yaŋ arɩ tɩɩsɩŋ, nyʋ.” Ŋɩɩ sɛnɛ ŋaa."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Ŋɩɩ nɛ yaŋ arɩ tɩɩsɩ-la nyʋ a kɛŋ doho. Ʋ na dɩ ba kala zɔmɔ.
13,"Evening came, then morning—that was the third day. The Fourth Day","Wɩa jʋʋ dɩdaanɩŋ, taŋ pʋl chʋchʋɔŋ, chɛ-torimuŋ chɛɛŋ nɛ ŋɩɩ."
