verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,"Na kayawi kalɔ kesekɔ ƒui ni, Katɔti údie katɔ ku kalɔ."
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Na kalɔ kammɔ keeebo udu ɔdi. Na lɛla lɛdi lɛnɔ liiibo-ka kemmo, na lɛdisa kani náƒɔ kalɔ kammɔ lɛlɔ ƒui. Na Katɔti Kɔyu kani nkɛ mɔɔví ntu bɔni náƒɔ-ka anumi mmɔ ƒui lɛlɔ."
3,"God said, “I command light to shine!” And light started shining.","Amu na Katɔti údie lɛdi ɔnini, “Bukeye bubo,” na bukeye búbo."
4,God looked at the light and saw that it was good. He separated light from darkness,Na Katɔti ɔ́nu ka bukeye bɔmmɔ bɔdia. Na úle bukeye bɔmmɔ na lɛdisa kudɔ.
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Na bukeye bɔmmɔ na Katɔti ɔ́lɔ ɔnii kadi nwaa, na ɔ́lɔ lɛdisa ɔnii usien. Na useyi údu na kadi kégye na limeyi lideedi lɛ́vi."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Amu na Katɔti údie lɛdi ɔnini, “Kuƒi kuduo ntu bɔmɛni kemmo, na kule ntu bɔmɛni bɔsiku ɔkpanadi kudɔ.”"
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Na kuƒi kɔmmɔ na Katɔti ɔ́lɔ ɔnii kayaa. Na useyi údu na kadi kégye na limeyi linyɔdi lɛ́vi.
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Amu na Katɔti údie lɛdi ɔnini, “Ntu bɔni náƒɔ kayaa kalɔ ni, bɔsala likpo linwi. Na kesii kani nákwii kakɔ kalɛ.” Na úbo úte lɛni."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Na kesii kani nákwii mmɔ na Katɔti ɔ́lɔ ɔnii, “kalɔ,” na ntu bɔni násala lɛlɔ buwi likpo linwi mmɔ na Katɔti ɔ́lɔ ɔnii, “ɛpu.” Na Katɔti ɔ́nu ka ɔdia."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na údie lɛdi ɔnini, “Kalɔ kamɛni kakwɛ egyii ku livo lidu lidu ku adingyii lidu lɛnɔ.” Na úbo úte lɛni."
